TEAM,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Gonzaga Bulldogs,25,86.2,32.4,62.4,52,7.7,20.1,38.2,13.7,19.7,69.4,10.3,26.7,37,16.1,7.9,3.1,11.3,17.1
Oral Roberts Golden Eagles,26,85.6,31.2,64.1,48.7,11.2,29.5,38,12,15.8,76,9,28.4,37.4,15.3,6.7,5.5,9.9,13.5
Toledo Rockets,24,84.9,30.3,62,48.8,8.6,22.3,38.6,15.8,21,75.1,10.5,24.5,35,15.3,6.9,2.9,10,16.4
Cornell Big Red,22,84.8,30.6,63.3,48.4,11.4,31,36.7,12.1,16.6,73.2,10.6,24,34.6,18.8,9.7,2.4,12,15.9
Southern Utah Thunderbirds,25,84.3,29.3,61.3,47.8,8.2,23.6,34.6,17.5,24.4,71.8,10.8,28.2,39,13.4,7.6,3.4,13.7,18.4
Alabama Crimson Tide,24,83.7,27.9,62.8,44.4,10.5,29.9,35.3,17.3,23.9,72.6,13,31.9,44.9,15.1,6.2,5.1,14.1,18.7
Youngstown State Penguins,26,83.5,30.5,61.6,49.5,8.3,21.6,38.5,14.2,18.2,78.2,10.3,25.4,35.7,15.5,7.3,2.9,11.5,15.7
Arizona Wildcats,25,83.4,29.4,60,48.9,8.4,23.1,36.6,16.2,22.4,72.3,11.4,29.8,41.2,19.6,6.5,3.7,13.8,16.9
Xavier Musketeers,25,83.2,30.8,61.6,50,7.6,18.8,40.1,13.9,19.4,71.8,10.3,27.2,37.5,20.6,7,3.6,13,16.1
Furman Paladins,26,82.4,29.5,60.6,48.6,9.9,28.3,35,13.6,18,75.5,10,25.7,35.7,18,7.1,3.2,11.7,16.9
Tulane Green Wave,23,82.2,28.4,60.5,46.9,7.6,22.8,33.4,17.8,22.3,79.9,6.6,26.8,33.4,15.9,9.2,3.9,11.2,16
Bryant Bulldogs,24,82,28.7,61.2,46.9,8.7,24.3,35.7,16,21,76.2,10.5,29,39.5,14.3,7.3,3.5,13.6,17.1
Missouri Tigers,24,82,29.1,60.5,48,9.4,26.1,35.9,14.4,19,75.7,9.5,21.8,31.3,17.1,10.6,2.9,11.6,18.5
Marshall Thundering Herd,26,81.9,31.6,68,46.5,8.4,25.1,33.4,10.3,15.6,65.8,13.3,26.7,40,18,9.2,5.4,11.6,16.3
UAB Blazers,25,81.8,28.6,63,45.4,6.9,19.5,35.5,17.8,24.2,73.3,13.9,27.5,41.4,15.2,8.2,4.3,13.2,17.6
James Madison Dukes,26,81.6,28.7,60.8,47.2,8,22.7,35.4,16.2,22.8,70.7,11.6,26,37.6,13.5,10,2.3,13.6,17.5
New Mexico Lobos,25,81.6,29.2,59.5,49,5.7,16.2,35.1,17.6,24,73.2,9.9,28,37.9,14,7,4.1,12,16.7
Wright State Raiders,27,81.4,32,63.6,50.3,5.8,16.6,35,11.6,15.7,73.4,9.7,27.9,37.5,15.3,6.4,2.7,13,15.5
Iowa Hawkeyes,24,81.1,28.5,62.4,45.8,8,22.8,34.9,16.1,21.5,74.8,11.6,25.1,36.7,16.5,6.6,3.8,10.3,14.5
Texas A&M-Corpus Christi Islanders,25,81,28.2,62.2,45.4,8.1,22.4,36.3,16.4,21.1,77.8,12.2,24.9,37.1,15.7,9.2,1.6,13.2,19.6
Memphis Tigers,24,81,29.5,61.6,47.8,5.8,17.3,33.2,16.3,22,74.2,10.9,25.8,36.7,16.5,9,4.8,13.4,19
Marquette Golden Eagles,25,80.9,30.1,60.5,49.8,8.8,25,35,11.9,16.7,71.2,8.7,22.8,31.6,17.6,9.5,3.6,11,16.1
UT Martin Skyhawks,26,80.8,28.7,62.9,45.5,8,24.3,32.9,15.5,21.7,71.4,10.9,28.7,39.6,14.2,8.2,3.5,12.1,18.4
Charleston Cougars,26,80.3,27.7,63.5,43.5,10,30.3,33,15,20.3,73.9,14.1,26.3,40.4,13.5,7.3,3.3,12.4,16.8
Louisiana Ragin' Cajuns,25,79.9,28.8,58.9,48.8,7.4,18.9,39,15,21.8,68.9,11.4,25.6,37,15.3,7.2,3.3,12.4,16.6
Queens University Royals,26,79.7,27.4,60.4,45.3,9.5,26.9,35.2,15.4,21.3,72.5,11.7,26.6,38.3,14.6,6.5,2.4,12.8,15.6
UConn Huskies,25,79.6,27.7,60.3,45.9,9.2,25.3,36.2,15.1,20.2,74.5,13.2,26,39.2,17.5,6.7,4.8,12.7,19
Utah State Aggies,25,79.6,27.2,56.4,48.3,10,24.3,41.4,15.1,20,75.6,8.7,26.7,35.4,17.2,4.8,3.6,12.1,16.6
Buffalo Bulls,25,79.6,29.1,62.7,46.5,7.2,21.5,33.6,14.1,20.4,69.4,11.9,26.3,38.2,15.6,8.2,3.2,14.8,18.8
Texas Longhorns,24,79.4,29,60.5,48,7,21.1,33,14.4,19.2,75,10.1,24.8,34.9,16.1,7.9,4,12.3,18.1
Baylor Bears,24,79,26.4,59,44.8,9.2,25.9,35.6,17,22.7,74.9,12.5,23.7,36.2,15.2,7.1,2.6,12,17.5
Indiana State Sycamores,26,78.8,28.2,58.9,47.9,9.6,27.9,34.5,12.8,17.2,74.3,7.3,27.1,34.5,15.9,6.9,1.9,12.2,17.1
Eastern Kentucky Colonels,26,78.7,29.2,66.3,44.1,9.2,26,35.2,11.2,16.9,66.1,13.3,26.2,39.5,15.8,8.4,4.7,12.2,16.4
Fairleigh Dickinson Knights,26,78.6,28.7,63.3,45.3,8.5,24.8,34.4,12.8,17,74.9,11.5,22.3,33.8,15.1,8.4,1.8,11.7,18.8
Milwaukee Panthers,25,78.6,27.8,60.1,46.2,8.3,23.1,36,14.8,20.2,73.2,11.8,27.3,39.1,14.4,7.2,5.8,15.1,18.2
Ohio Bobcats,25,78.6,28.7,62,46.2,8.6,23.3,37,12.6,17.2,72.9,12,25.8,37.8,13.1,6.2,2.2,11.5,18
Rice Owls,24,78.5,27.8,58,47.9,8.8,24.3,36.3,14.1,19.2,73.5,8.4,27.4,35.8,15.9,6.1,2.3,13.4,15.4
Miami Hurricanes,24,78.4,28.6,59.5,48.1,7.7,21.2,36.1,13.5,17.6,76.8,10.6,24.3,34.9,15.1,7.7,3.6,11.5,14.6
Providence Friars,24,78.4,27.7,59.2,46.8,6.3,18.3,34.6,16.7,22.5,74.1,12.3,27.3,39.6,14.9,6.9,4.8,12.5,15.2
NC State Wolfpack,25,78.4,28.5,63.8,44.7,8.4,23.9,34.9,13.1,18.1,72.2,11.6,25.8,37.5,13.4,8.2,4.9,9.8,17.6
San Diego Toreros,26,78,27.5,60.5,45.5,7.8,21.7,36.1,15.2,19.8,76.6,10.2,23.2,33.4,13.2,6.8,1.9,11.7,17.3
Pepperdine Waves,26,78,29,62.6,46.3,8.2,22.7,36.1,11.9,16.9,70.5,9.4,27.1,36.5,15.2,5.8,4.1,14.3,17.6
Samford Bulldogs,26,78,26,57.7,45.1,8.5,25.3,33.8,17.5,23.1,75.7,10.7,25.8,36.5,11.6,7.5,2.6,13,18.8
Wake Forest Demon Deacons,25,78,26.9,57.9,46.4,9.2,24.8,36.9,15,20.1,74.8,8.3,26.5,34.8,12.9,6.2,2.6,11.6,16.3
