TEAM,CONFERENCE,RECORD,PCT,HOME,AWAY,STRK
Liberty Flames,ASUN Conference,20-6,0.769,14-1,4-4,W1
Kennesaw State Owls,ASUN Conference,19-7,0.731,10-0,8-6,W1
Eastern Kentucky Colonels,ASUN Conference,17-9,0.654,12-1,4-7,W4
Stetson Hatters,ASUN Conference,14-11,0.56,7-1,6-9,L1
Lipscomb Bisons,ASUN Conference,16-10,0.615,12-1,4-9,W3
North Alabama Lions,ASUN Conference,15-11,0.577,8-2,6-9,W2
Bellarmine Knights,ASUN Conference,12-15,0.444,7-5,5-10,W1
Queens University Royals,ASUN Conference,16-11,0.593,8-4,6-7,L2
Florida Gulf Coast Eagles,ASUN Conference,16-11,0.593,7-3,6-8,W2
North Florida Ospreys,ASUN Conference,11-15,0.423,9-2,2-13,W1
Jacksonville Dolphins,ASUN Conference,12-13,0.48,7-4,5-9,L4
Central Arkansas Bears,ASUN Conference,9-18,0.333,6-6,2-11,W1
Jacksonville State Gamecocks,ASUN Conference,10-16,0.385,8-4,1-11,L3
Austin Peay Governors,ASUN Conference,8-19,0.296,6-7,1-11,L10
Vermont Catamounts,America East Conference,14-10,0.583,6-1,7-6,W6
Binghamton Bearcats,America East Conference,11-13,0.458,7-5,4-8,W2
UMass Lowell River Hawks,America East Conference,20-6,0.769,13-0,7-6,W3
UMBC Retrievers,America East Conference,17-10,0.63,13-2,4-8,W2
Bryant Bulldogs,America East Conference,16-9,0.64,9-2,6-6,L1
New Hampshire Wildcats,America East Conference,11-12,0.478,7-4,4-8,L2
NJIT Highlanders,America East Conference,7-17,0.292,5-6,2-11,W1
Maine Black Bears,America East Conference,10-15,0.4,6-4,4-10,L2
Albany Great Danes,America East Conference,6-21,0.222,3-6,2-14,L9
Houston Cougars,American Athletic Conference,23-2,0.92,13-2,8-0,W5
Tulane Green Wave,American Athletic Conference,16-7,0.696,10-2,4-2,W4
Memphis Tigers,American Athletic Conference,18-6,0.75,10-1,5-4,W1
Temple Owls,American Athletic Conference,14-11,0.56,7-6,5-3,L2
Cincinnati Bearcats,American Athletic Conference,16-9,0.64,12-3,3-4,L1
UCF Knights,American Athletic Conference,14-9,0.609,9-4,3-4,W1
Wichita State Shockers,American Athletic Conference,12-12,0.5,6-8,5-3,L1
SMU Mustangs,American Athletic Conference,9-16,0.36,6-7,1-8,W1
South Florida Bulls,American Athletic Conference,10-14,0.417,7-8,2-5,L1
East Carolina Pirates,American Athletic Conference,12-12,0.5,8-5,1-6,W1
Tulsa Golden Hurricane,American Athletic Conference,5-18,0.217,4-7,0-9,L5
VCU Rams,Atlantic 10 Conference,18-7,0.72,12-3,5-3,L1
Dayton Flyers,Atlantic 10 Conference,17-9,0.654,13-1,3-5,W2
Fordham Rams,Atlantic 10 Conference,20-5,0.8,15-2,5-3,W2
Saint Louis Billikens,Atlantic 10 Conference,16-9,0.64,11-3,4-5,L1
Duquesne Dukes,Atlantic 10 Conference,17-8,0.68,14-3,2-5,W3
Saint Joseph's Hawks,Atlantic 10 Conference,13-12,0.52,9-5,4-4,W2
St. Bonaventure Bonnies,Atlantic 10 Conference,13-13,0.5,10-3,2-8,L2
La Salle Explorers,Atlantic 10 Conference,12-13,0.48,7-5,5-5,W4
George Washington Colonials,Atlantic 10 Conference,12-13,0.48,10-4,2-6,L1
George Mason Patriots,Atlantic 10 Conference,14-12,0.538,12-2,1-7,W1
