Company Name,Country Founded,Industry,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Total Revenue 2018 - 2020,Avg Revenue 2018 - 2020,Total Net Income 2018 - 2020,Avg Net Income 2018 - 2020,Avg Profit Margin 2018 - 2020
ACS,Spain,Construction and services,56200000000.0,56800000000.0,57400000000.0,5600000000.0,6600000000.0,7600000000.0,170400000000.0,56800000000.0,19800000000.0,6600000000.0,0.11619718309859155
AMP,Australia,Financial services,16300000000.0,16500000000.0,16700000000.0,1300000000.0,2300000000.0,3300000000.0,49500000000.0,16500000000.0,6900000000.0,2300000000.0,0.1393939393939394
ANZ,Australia,Banking,27600000000.0,28200000000.0,28800000000.0,6600000000.0,5600000000.0,4600000000.0,84600000000.0,28200000000.0,16800000000.0,5600000000.0,0.19858156028368795
AXA,France,Financial services,100100000000.0,100600000000.0,97500000000.0,4700000000.0,5100000000.0,4800000000.0,298200000000.0,99400000000.0,14600000000.0,4866666666.666667,0.04896042924211939
Adidas,Germany,Footwear,21200000000.0,21300000000.0,22100000000.0,1100000000.0,1200000000.0,1200000000.0,64600000000.0,21533333333.333332,3500000000.0,1166666666.6666667,0.0541795665634675
Agricultural Bank of China,China,Banking,154900000000.0,160700000000.0,166500000000.0,25100000000.0,28100000000.0,31100000000.0,482100000000.0,160700000000.0,84300000000.0,28100000000.0,0.1748599875544493
Agromet,Poland,Agriculture,1300000000.0,1400000000.0,1500000000.0,100000000.0,200000000.0,300000000.0,4200000000.0,1400000000.0,600000000.0,200000000.0,0.14285714285714285
Air New Zealand,New Zealand,Air Transportation,4400000000.0,4600000000.0,4500000000.0,200000000.0,300000000.0,300000000.0,13500000000.0,4500000000.0,800000000.0,266666666.66666666,0.059259259259259255
Alibaba,China,Retail,39900000000.0,56100000000.0,70200000000.0,12900000000.0,14900000000.0,11900000000.0,166200000000.0,55400000000.0,39700000000.0,13233333333.333334,0.23886883273164863
Allianz,Germany,Insurance,143700000000.0,147100000000.0,132900000000.0,10800000000.0,11200000000.0,9200000000.0,423700000000.0,141233333333.33334,31200000000.0,10400000000.0,0.07363700731649751
Amazon,United States,Retail,232900000000.0,280500000000.0,386100000000.0,21300000000.0,21300000000.0,21300000000.0,899500000000.0,299833333333.3333,63900000000.0,21300000000.0,0.07103946637020568
América Móvil,Mexico,Telecommunications,53100000000.0,54500000000.0,53300000000.0,5300000000.0,5500000000.0,5300000000.0,160900000000.0,53633333333.333336,16100000000.0,5366666666.666667,0.10006215040397763
Anglo American,United Kingdom,Mining,22800000000.0,23400000000.0,24000000000.0,3300000000.0,4300000000.0,5300000000.0,70200000000.0,23400000000.0,12900000000.0,4300000000.0,0.18376068376068377
Anheuser-Busch InBev,BelgiumBelgium,BeveragesBeverages,109200000000.0,109200000000.0,104600000000.0,19400000000.0,20400000000.0,18200000000.0,323000000000.0,107666666666.66667,58000000000.0,19333333333.333332,0.3591331269349845
Apple,United States,Technology,265600000000.0,260200000000.0,274500000000.0,59500000000.0,55200000000.0,111400000000.0,800300000000.0,266766666666.66666,226100000000.0,75366666666.66667,0.2825190553542422
AstraZeneca,United Kingdom,Pharmaceuticals,23100000000.0,23800000000.0,24500000000.0,4900000000.0,5900000000.0,6900000000.0,71400000000.0,23800000000.0,17700000000.0,5900000000.0,0.24789915966386555
Audi,Germany,Automotive,60700000000.0,60500000000.0,59100000000.0,5900000000.0,5800000000.0,5500000000.0,180300000000.0,60100000000.0,17200000000.0,5733333333.333333,0.09539656128674431
Aviva,United Kingdom,Insurance,37400000000.0,38200000000.0,39000000000.0,4400000000.0,5400000000.0,6400000000.0,114600000000.0,38200000000.0,16200000000.0,5400000000.0,0.14136125654450263
Avon Products,United Kingdom,Beauty,5700000000.0,5800000000.0,5900000000.0,600000000.0,700000000.0,800000000.0,17400000000.0,5800000000.0,2100000000.0,700000000.0,0.1206896551724138
BASF,Germany,Chemicals,65000000000.0,64200000000.0,58600000000.0,6700000000.0,6400000000.0,4900000000.0,187800000000.0,62600000000.0,18000000000.0,6000000000.0,0.09584664536741214
